"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","GTIN","MPN","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"688c30215e392857da7a1863","273f55cb-2a59-44c8-91f4-5a7b94659fc8","PHYSICAL","shop","1zhw2o243y124yydvayxku0q8c4t96","textured citrine sz 6","<p class="""">genuine citrine in princess cut, manually set with added texture.</p>","SQ7870504","","","","","","","","","","","","","","","110.00","0.00","No","0","","","1.0","9.0","5.0","2.0","Yes","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/121cc6ba-3c20-422b-9ea0-1a9544a711da/7BB5DFB5-165A-48F3-A428-1ABE8B24E48D.jpg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/ed711f78-55b3-4970-9d29-25c8b0ab9c41/34F43BDF-C8B4-4712-B345-BAEC26AE83E9.jpg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/4c5e7ce1-78cf-487c-98e3-5528845a1d5f/DA63A15C-EB0E-4219-B41A-B32201631324.jpg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/89d5b53a-87ef-4464-bffe-448d77a2501e/83505A03-2A9B-47AC-8058-22D7A6EDDF6F.jpg"
"68b890e9f5b31a6537941520","6341b712-4086-41ee-9710-0dbf4cbfa52a","PHYSICAL","shop","7tuvix3lwe4hixbfdwbfm4az1s7awq","opal shark sz 10","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">authentic fossilized shark tooth + australian opal doublet. my original design made from wax. tiny chip on top of shark tooth.</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">*this statement ring includes a real shark tooth fossil as well as a doublet Opal – both very fragile. It is not recommended to wear this ring whilst doing any kind of physical labour / exercise where it could be at risk of getting damaged</p>","SQ7847580","","","","","","","","","","","","","","","300.00","280.00","No","Unlimited","","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1756926217663-PMUJ41XNHN2XJD9EXM3D/6651EEFC-4B79-45AF-8CD3-918EDF144146.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1756926222621-EBO452M7D8033W5SL4IG/005693CF-626B-41A4-A54C-E4152BD12FCE.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1756926220016-98LZDW22MJQS8HODZMZA/5465A219-2FA8-43D1-96E7-3C9BFB78D426.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1756926222684-KL600OHPBUZ6QBHF570X/816D7A9C-E614-40D2-838F-542C120D9D12.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1756926223366-BMRGN1GQ2DDQMU63WRUD/CD58D4A7-F97D-406A-AFC5-AE3A65289AA5.jpeg"
"6895207b6f6e084af580ee54","2f23d1a6-6ada-4278-9a17-6f07b9baeaa6","PHYSICAL","shop","8w3mik8nwvjtmzqd76z54feb98u52l","jelly bean opal ring sz 7.25","<p class="""">simple and rather dainty Australian opal doublet ring sitting pretty in its sterling silver home!</p>","SQ6777954","","","","","","","","","","","","","","","150.00","136.00","No","0","","","2.0","9.0","5.0","2.0","Yes","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754603696746-YBWPK8870JYQ3VE4GJZU/C13D4F01-4C5B-4E7A-9B0E-CBA5EF5628ED.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754603688205-NOH8SA201GKMRZXXF2MK/BA4017C0-33EC-434F-982D-0625789F9260.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754603690123-USBD50KJ75RGH1OFQD95/1C4DAFDE-5101-46E0-AAB3-0925A1BBFA2A.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754603695926-HZSQDI3FB6FX33VSC48J/FE337BFC-744F-4F01-ABF4-5BEB761FE92A.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754603695749-XWXSSVIECXA4RWVSC4RU/1FB7FCD4-1524-401B-8E38-7757455FF9CB.jpeg"
"688c308a7b96d70faf0c3a65","157575dd-938e-4604-b3dc-6251a8ce9ed0","PHYSICAL","shop","ofkqtolf9xssc47mxb3ywtstqgv9q4","one of a kind | leap ring sz 10","<p data-rte-preserve-empty=""true"" style=""white-space: pre-wrap;"">‘take the leap’ rabbit ring, hand carved and etched.</p>","SQ5702451","","","Size","10","","","","","","","","","","","280.00","2.30","No","1","","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/ed1224e7-5325-40fd-b7de-c1f339973f4e/F2EDA3C0-DF2B-45C3-9E9A-D2DB5CB56693.jpg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754018182863-XC5R49LWZ9MKZEJP3W82/EDE40196-7D70-4A37-8CEC-67EA5639D5C3.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754018197461-CLLJ0JTHU4HB8MXWV3RN/8AB21FF9-8F00-4969-A07C-2F48C2F6A7A6.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/d7a7122f-7f7b-45bb-aa81-312b907c3052/9CFA8650-4F75-4E2A-9623-E9C3FC0B6EAA.jpg"
"68b8921281cdb105e8e8fd8b","31a693c3-6bfa-4111-807d-655ba99c41f0","PHYSICAL","shop","p0om2oddwmey43nrqa6ffzurff69av","traveling stones adjustable sz 8-9.5*","<p>raw, natural australian sapphires cast in place with flush set 2mm green cubic zirconia. rustic, edgy look.</p><p>*2 sapphires have small cracks</p>","SQ8916444","","","","","","","","","","","","","","","220.00","190.00","Yes","Unlimited","","","0.0","0.0","0.0","0.0","No","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1756926819358-FIF4E6MWVF76WKJ17CXR/F541B0CD-83AF-4CF2-97CD-B8DCC1665155.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1756926817757-HA8WJD8SCMPELQAEF1VN/D6D0366F-C509-44E9-8D78-C54F88349A02.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1756926819262-TU511EYIGXNZNB1IDB8S/29AAF251-7BF0-470E-890A-CB5E0A302E94.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1756926819931-K4B6634KB8EXACY2SW2J/0EAE45C8-F9A3-4147-A8D6-51272E695EC6.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1756926817308-DSAARDQWUGJ1SLT0OHH2/74E2F2F2-16A9-4102-A745-B868C2FBF305.jpeg"
"686343ad02ad0d132675feb5","8a7ccc4f-4a56-4a61-ad54-bd1e0529edb1","PHYSICAL","shop","product-1-ydar7-e8mlb-r2y28-fyje9","ruby shark sz 4.75","<p class="""">fossilized shark tooth and genuine ruby cast in place, 925 silver. could be sized up to 5!</p>","SQ2467663","","","","","","","","","","","","","","","200.00","153.00","No","Unlimited","","","1.0","9.0","5.0","2.0","Yes","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/57a46a61-21ff-45bb-9f24-45412a0612cc/IMG_4447.jpg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/20ab6802-09a7-4bea-9cf2-639a693340b4/IMG_4393.jpg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/3b15957e-9e40-4b60-bb60-c99fb741c9af/IMG_4405.jpg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/e5a71d10-771a-4248-b262-bf375dea9bc1/IMG_4446.jpg"
"686343ad02ad0d132675feb0","e574f514-4e82-451b-9632-ece4ad7871f7","PHYSICAL","shop","product-2-5c6mb-j8mng-zyt72-7p2zw","ruby tiger sz 9.5","<p><span style=""color: rgb(0, 0, 0)"">claw set red tigers eye cabochon, cast in place 2mm cubic zirconia.&nbsp;</span></p>","SQ3740751","","","","","","","","","","","","","","","245.00","215.00","Yes","Unlimited","","","1.0","9.0","5.0","2.0","Yes","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754017724764-47ZD5UWLXBT8PWQF55RA/E042C420-29C4-4685-B3FB-7BA8A8F70475.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754017728927-U9909CIBCRMSF8G3XO1N/301419EE-4BE0-43D1-911A-5F552D4C7DFB.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754017725271-897NCWFMZPO5S8JGSRO5/E9DC6865-A568-4875-B505-41DB51BCE3D6.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754017728467-OGQNQMMMBY7T3F2VR1X1/8722B87B-291B-41ED-9C35-88AC0C55657D.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754017728790-HPCX5BPQZKQHOPYFKOGK/1AAED3C7-A2AC-417F-931C-719B04E785B2.jpeg"
"686343ad02ad0d132675fec8","4dda1d72-821f-4c09-8f92-42030122f2f3","PHYSICAL","shop","product-3-szb2y-gzh2r-3ly82-s7ghx","bolder bird | MADE TO ORDER*","<p>‘bolder bird’ is a brand ring with flower marks on either side of the band, impressed using antique cutlery. ‘B’ inscribed on inside of band.</p><p>*horizontally flipped version</p>","SQ1995219","","","Size","7","","","","","","","","","","","290.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/e015529b-7bc9-4508-b755-0a10f5efe014/F221B2F7-2C2A-4B17-BA3F-246143129E6D.jpg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/b385fe83-5e38-44b5-939a-558c9830e3c7/D1BA72A1-34C6-48D4-9EB1-8D7876ED6336.jpg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/fa6f99f6-0d05-4c2b-971f-1eb0bf0a8c32/875B53BA-76BF-452A-8660-D428DB63824A.jpg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/f8e04da0-f929-456f-8689-664b64db5ac7/401ADC7A-0042-4628-92F2-DD096BE9BBEE.jpg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/fd1730e6-aa12-4536-9549-f7e503a32a31/CC48058C-CFEF-4F55-AF69-345CDD21001A.jpg"
"","550ccb45-72d1-4d76-acef-13db83e252f0","","","","","","SQ9102660","","","Size","8","","","","","","","","","","","300.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","ade52268-f346-4f9e-aa01-b9ceb9811958","","","","","","SQ7545900","","","Size","9","","","","","","","","","","","310.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
